variable,n_faltantes,pct_faltantes
age,0,0.0
age_group,0,0.0
bmi,0,0.0
bmi_category,0,0.0
cancer_type,0,0.0
chemotherapy_regimen,0,0.0
chemotherapy_regimen_missing,0,0.0
clinical_risk_group,0,0.0
cycles_completed,0,0.0
dosage_mg_m2,0,0.0
frailty_risk_pre,0,0.0
genetic_mutation,0,0.0
metastasis_binary,0,0.0
metastasis_status,0,0.0
nausea_severity,0,0.0
neutropenia,0,0.0
neutropenia_binary,0,0.0
overall_survival_months,0,0.0
patient_id,0,0.0
progressive_disease,0,0.0
record_quality_for_recommender,0,0.0
response_favorable,0,0.0
severe_toxicity_observed,0,0.0
sex,0,0.0
smoking_status,0,0.0
survival_12m,0,0.0
survival_24m,0,0.0
tumor_response,0,0.0
tumor_size_cm,0,0.0
tumor_stage,0,0.0
tumor_stage_numeric,0,0.0
