variable_transformada,importancia,metodo
bmi,0.20693829432771407,Importancia interna del ensemble
tumor_size_cm,0.19328443701227352,Importancia interna del ensemble
age,0.18148106474197553,Importancia interna del ensemble
tumor_stage_II,0.024092845656123966,Importancia interna del ensemble
sex_Male,0.024003743892153453,Importancia interna del ensemble
smoking_status_Never,0.023896927203221764,Importancia interna del ensemble
sex_Female,0.02370241836299918,Importancia interna del ensemble
smoking_status_Former,0.02344886099750604,Importancia interna del ensemble
tumor_stage_I,0.02163506428100505,Importancia interna del ensemble
tumor_stage_III,0.02125405765492488,Importancia interna del ensemble
metastasis_status_No,0.020055575740575076,Importancia interna del ensemble
smoking_status_Current,0.020026155647213138,Importancia interna del ensemble
metastasis_status_Yes,0.01998832184477309,Importancia interna del ensemble
cancer_type_Leukemia,0.019356065232578473,Importancia interna del ensemble
cancer_type_Lymphoma,0.01930642695500003,Importancia interna del ensemble
cancer_type_Lung,0.019030739684889567,Importancia interna del ensemble
genetic_mutation_TP53,0.018943071718881117,Importancia interna del ensemble
cancer_type_Breast,0.018536210438466826,Importancia interna del ensemble
cancer_type_Colon,0.018254267283023956,Importancia interna del ensemble
genetic_mutation_EGFR,0.01763983835874776,Importancia interna del ensemble
genetic_mutation_BRCA1,0.017618521578054974,Importancia interna del ensemble
tumor_stage_IV,0.017016571146177703,Importancia interna del ensemble
genetic_mutation_KRAS,0.01692182562389058,Importancia interna del ensemble
genetic_mutation_Not_reported,0.013568694617830314,Importancia interna del ensemble
