modelo,fraccion_train,n_entrenamiento_por_fold,f1_train_media,f1_train_std,f1_validacion_media,f1_validacion_std,n_folds
Random Forest,0.1,2488,0.8641831710818465,0.006290322047844369,0.24921812749530922,0.003945474749388611,3
Random Forest,0.25,6220,0.8431953432818093,0.010960344877173912,0.24979117599505052,0.0023721287745876885,3
Random Forest,0.5,12441,0.803894203251994,0.01011365757344727,0.25282038083537256,0.0028268184292380735,3
Random Forest,0.75,18661,0.7708441420476034,0.009244638019707001,0.2524168962179447,0.0042699354000839485,3
Random Forest,1.0,24882,0.749582380656116,0.012412649041372131,0.24997503514238148,0.0033267230620282083,3
Dummy estratificado,0.1,2488,0.251822500790588,0.001289307562772129,0.25055350879239174,0.0031988522703086312,3
Dummy estratificado,0.25,6220,0.24679016287209146,0.004056053849098183,0.25008099203877054,0.006182630997112688,3
Dummy estratificado,0.5,12441,0.24861694876202867,0.0056745690232291425,0.2517137020785584,0.004954977391221384,3
Dummy estratificado,0.75,18661,0.2483643133870638,0.0021005057606001236,0.249927585165754,0.0035391275063784674,3
Dummy estratificado,1.0,24882,0.24429914596269478,0.0021655623517083367,0.25014106289751,0.002872387245206412,3
